Age, Income , LoanAmount, CreditScore, EmploymentYears, ExistingLoans, MonthlyDebt, LoanTerm, PreviousDefault, HomeOwnership, Default
 59,  498647,     835021,         754,               6,             2,       23248,       36, No             , Rent         ,       0
 21,  795913,     497789,         771,               3,             2,       23960,       36, No             , Mortgage     ,       0
 56,  150000,    1078117,         577,               0,             0,       16220,       24, Yes            , Rent         ,       1
 42,  809473,     889957,         672,              11,             1,       18184,       36, No             , Rent         ,       0
 48, 1750699,     781622,         822,              11,             3,       33642,       36, No             , Rent         ,       0
 57, 1124542,      50000,         616,              18,             4,       24658,       24, No             , Mortgage     ,       0
 38, 1227112,     680320,         646,              17,             3,       39362,       36, Yes            , Rent         ,       0
 45, 1055887,      50000,         717,               0,             3,       26791,       36, No             , Own          ,       0
 26,  903350,     839257,         534,               8,             2,       32647,       60, No             , Rent         ,       0
 55,  807351,     242320,         586,              29,             4,       35368,       12, No             , Rent         ,       0
 56,  150000,     335348,         701,              24,             2,       19093,       60, No             , Mortgage     ,       0
 31,  863267,     958471,         679,              13,             5,       38847,       84, No             , Mortgage     ,       0
 39,  471480,     465667,         627,              21,             4,       29492,       24, No             , Own          ,       1
 63,  927615,     971221,         759,              20,             1,       16755,       36, No             , Own          ,       0
 64,  735591,    1096943,         611,              23,             2,       44785,       36, No             , Own          ,       0
 26,  934511,     349979,         850,               6,             5,       39938,       36, No             , Own          ,       0
 48, 1367420,     528270,         803,               3,             5,       35802,       60, No             , Own          ,       0
 63,  554485,    1062630,         779,               8,             1,       22887,       36, No             , Mortgage     ,       0
 42,  580190,     696161,         598,              24,             2,       28856,       36, No             , Mortgage     ,       1
 30,  892605,     897778,         677,               2,             0,        6489,       36, No             , Mortgage     ,       0
 35,  150000,     389973,         450,               5,             3,       26105,       12, No             , Rent         ,       1
 28, 1481461,     280701,         729,               8,             3,       48067,       48, No             , Rent         ,       0
 64, 1028813,     919612,         664,              13,             5,       30499,       60, No             , Mortgage     ,       1
 49,  953573,     542831,         582,              23,             2,       23670,       48, No             , Rent         ,       0
 44, 1109872,     861529,         713,              17,             2,       27003,       24, No             , Rent         ,       0
 54,  955198,      50000,         670,              16,             0,        8662,       60, No             , Rent         ,       0
 59,  995609,     434849,         682,              11,             5,       26568,       36, No             , Mortgage     ,       0
 60,  342453,     486083,         707,              14,             2,       32104,       36, No             , Rent         ,       0
 47,  850198,      50000,         601,              18,             5,       44434,       24, No             , Mortgage     ,       1
 30,  221980,     488530,         740,              12,             4,       33431,       24, No             , Rent         ,       1
 64,  656212,     266570,         691,              21,             4,       39503,       48, Yes            , Rent         ,       1
 44, 1000071,      50000,         850,              26,             3,       24149,       84, No             , Rent         ,       0
 45,  951133,    1340264,         622,              16,             1,        3760,       36, Yes            , Rent         ,       1
 63,  209166,      50000,         616,              19,             1,           0,       36, No             , Own          ,       0
 61,  975324,     204379,         632,               1,             2,       28120,       84, No             , Mortgage     ,       0
 37,  514947,     502047,         704,              14,             4,       24191,       24, No             , Rent         ,       0
 29, 1094713,     108479,         586,              11,             1,        9680,       48, Yes            , Mortgage     ,       0
 38,  313048,     606823,         612,              20,             5,       27935,       60, No             , Rent         ,       1
 58, 1347927,     953008,         585,              28,             1,        5613,       36, No             , Rent         ,       0
 23,  645121,     801329,         614,               5,             3,       47792,       24, No             , Own          ,       1
 39,  518741,     169586,         669,              20,             4,       32347,       24, No             , Mortgage     ,       0
 32,  780840,     275302,         730,              14,             0,       31806,       48, No             , Rent         ,       0
 53,  551190,     174235,         468,               8,             2,        9280,       48, No             , Rent         ,       1
 42,  645788,     860874,         646,              17,             3,       39279,       48, No             , Rent         ,       1
 37,  150000,     153772,         686,              19,             1,       12655,       60, No             , Rent         ,       0
 23,  663608,     816205,         685,               5,             1,       26659,       48, Yes            , Rent         ,       1
 32,  921531,      50000,         519,              13,             4,       21813,       24, No             , Own          ,       0
 40,  338978,     715838,         590,              22,             3,       36177,       60, Yes            , Rent         ,       1
 52,  599316,     901181,         608,              18,             5,       31617,       24, No             , Mortgage     ,       0
 28, 1189770,     107293,         806,              10,             2,       28465,       60, No             , Rent         ,       0
 65,  832922,     754160,         771,               0,             0,       21541,       24, No             , Own          ,       0
 25,  178008,     531820,         662,               7,             5,       54728,       48, Yes            , Rent         ,       1
 28,  549344,     345280,         661,               9,             3,       35747,       48, No             , Mortgage     ,       0
 35,  588109,     694780,         580,              17,             2,        9056,       36, Yes            , Mortgage     ,       1
 41,  683505,    1040893,         657,              14,             3,       46451,       36, No             , Mortgage     ,       0
 38, 1232814,     497888,         666,              15,             0,       14642,       84, No             , Mortgage     ,       0
 40,  404946,    1021623,         663,              11,             3,       26254,       48, No             , Rent         ,       0
 47,  300981,     409012,         619,              13,             3,       21728,       12, Yes            , Mortgage     ,       1
 50, 1006907,     981366,         694,               3,             1,       12399,       12, No             , Rent         ,       0
 59,  150000,      50000,         499,              17,             2,        4147,       48, No             , Mortgage     ,       0
 55,  794273,     275329,         784,               0,             3,       25655,       60, No             , Own          ,       0
 45,  918742,     296925,         575,              20,             0,        2872,       24, No             , Own          ,       0
 58,  662687,     819802,         669,               5,             0,       14117,       60, No             , Own          ,       0
 34,  550952,     613213,         640,               6,             3,       11738,       24, No             , Rent         ,       1
 45,  726044,     637778,         667,               8,             1,       23044,       36, No             , Rent         ,       0
 65,  832994,     536738,         732,              22,             1,       10037,       24, No             , Rent         ,       0
 53, 1125773,     284948,         775,              26,             1,           0,       60, Yes            , Mortgage     ,       0
 65,  150000,     565507,         557,              24,             5,       37996,       48, No             , Mortgage     ,       0
 61,  702039,      50000,         758,               8,             4,       31397,       36, No             , Rent         ,       0
 47,  897178,     148378,         804,               3,             1,        9965,       60, No             , Rent         ,       0
 35,  895118,     625553,         557,              17,             0,        3247,       36, No             , Rent         ,       1
 29,  741257,     285532,         765,              11,             4,       35963,       36, No             , Rent         ,       0
 21, 1403783,     291826,         604,               3,             0,       19466,       84, No             , Rent         ,       0
 31, 1021237,      53669,         642,              13,             1,       20227,       36, No             , Rent         ,       0
 63,  555317,     377500,         705,              21,             1,        9317,       36, No             , Mortgage     ,       1
 43,  375820,     274179,         518,              25,             2,       11617,       24, No             , Rent         ,       0
 34,  597267,     490238,         553,              16,             2,       28015,       36, No             , Rent         ,       0
 28,  615346,     569347,         683,              10,             5,       28834,       36, Yes            , Mortgage     ,       1
 37,  720880,     223525,         662,              17,             5,       35732,       60, No             , Mortgage     ,       1
 31,  926117,      91283,         647,              13,             2,       16751,       60, No             , Mortgage     ,       0
 49, 1266406,     795048,         700,              18,             1,       20308,       24, No             , Mortgage     ,       0
 44,  690123,    1167848,         498,               2,             5,       50071,       24, No             , Rent         ,       1
 57,  567779,     182507,         663,              22,             0,       22083,       60, Yes            , Rent         ,       0
 23, 1289236,     482763,         697,               2,             0,       12414,       48, No             , Rent         ,       0
 28, 1067580,     580574,         572,              10,             0,       25537,       48, Yes            , Rent         ,       0
 35,  317334,     664922,         770,              15,             3,       27838,       12, No             , Own          ,       0
 53,  457397,     327807,         645,              18,             0,       21521,       12, Yes            , Mortgage     ,       0
 42,  851133,      50000,         662,               4,             2,       26587,       36, No             , Own          ,       0
 62, 1060373,     798159,         568,               5,             4,       40477,       60, Yes            , Rent         ,       1
 55,  740266,      87565,         556,              26,             4,       16548,       36, No             , Rent         ,       1
 45,  366225,      50000,         685,               8,             1,       17096,       36, No             , Mortgage     ,       0
 52,  314017,     539720,         847,              28,             5,       68924,       60, No             , Mortgage     ,       0
 39,  967295,     533562,         683,               1,             2,       18728,       12, No             , Mortgage     ,       0
 22,  667834,     736528,         741,               4,             3,       33475,       48, No             , Rent         ,       0
 41,  804161,     833068,         571,               0,             3,       19519,       36, No             , Mortgage     ,       0
 60,  934750,     671086,         521,               2,             0,        8090,       60, Yes            , Mortgage     ,       1
 23, 1140736,      50000,         632,               5,             2,        5171,       36, No             , Own          ,       0
 25, 1238229,     683042,         759,               7,             5,       43074,       36, No             , Rent         ,       0
 48,  936332,     700135,         677,               9,             0,       21896,       12, No             , Rent         ,       0
 49, 1106515,     691072,         671,               9,             3,       33794,       36, No             , Mortgage     ,       0
 41,  195107,     765851,         689,              23,             5,       47466,       48, No             , Rent         ,       0
 28,  150000,     701445,         653,               2,             3,       24446,       60, No             , Mortgage     ,       0
 44,  278917,     292704,         628,              18,             1,           0,       84, No             , Mortgage     ,       0
 22,  591532,     322568,         782,               0,             2,       34633,       36, No             , Rent         ,       0
 46,  666646,     540261,         604,              20,             5,       39949,       36, Yes            , Rent         ,       1
 60, 1043112,     534198,         679,              23,             1,       32395,       60, No             , Own          ,       0
 27,  861118,     932533,         813,               9,             3,       15533,       60, No             , Own          ,       0
 42,  713794,     263587,         697,              13,             2,       38916,       36, No             , Mortgage     ,       1
 42,  999779,     602086,         556,              12,             4,       48282,       60, No             , Own          ,       1
 51,  150000,     660899,         691,               8,             0,       14344,       24, No             , Own          ,       0
 39,  898203,     435819,         701,              13,             3,       31475,       48, No             , Mortgage     ,       0
 37, 1066176,     469460,         628,              19,             2,       25117,       36, No             , Mortgage     ,       0
 33,  588720,     100080,         552,              13,             4,       36878,       12, No             , Mortgage     ,       1
 36,  534388,     432128,         798,              12,             5,       49712,       12, No             , Mortgage     ,       0
 59,  789495,     360183,         726,              17,             2,       30719,       24, No             , Own          ,       0
 21,  357775,    1268864,         697,               3,             4,       28707,       60, No             , Own          ,       1
 30,  828473,    1293342,         688,              12,             3,       18149,       48, No             , Rent         ,       0
 30,  370073,     608223,         766,               4,             1,       28291,       60, No             , Rent         ,       0
 51,  632556,     435440,         605,              30,             4,       24844,       36, No             , Own          ,       0
 43, 1004822,     361611,         660,              13,             1,       21910,       60, No             , Mortgage     ,       0
 32,  886141,     276002,         706,              14,             0,        1680,       60, No             , Rent         ,       0
 35,  725013,     184197,         780,              13,             3,       29405,       60, No             , Own          ,       1
 55,  860053,     442074,         700,              20,             3,       18955,       24, No             , Rent         ,       0
 30,  150000,     171473,         703,              12,             2,       23707,       48, No             , Mortgage     ,       0
 46,  589775,    1035178,         588,              18,             4,       41198,       60, No             , Mortgage     ,       1
 54,  868475,    1211284,         646,              28,             1,       16418,       84, No             , Own          ,       1
 43,  414559,     657134,         753,               6,             2,       13292,       84, No             , Rent         ,       0
 21, 1133625,    1071002,         763,               3,             2,       28449,       36, No             , Mortgage     ,       0
 63,  606375,      50000,         843,              13,             2,       26826,       60, No             , Mortgage     ,       0
 26,  954034,    1068260,         613,               8,             5,       36651,       60, No             , Own          ,       0
 59,  992461,      50000,         654,               6,             1,       27125,       24, No             , Mortgage     ,       0
 33, 1265729,     754302,         775,              15,             3,       13383,       24, No             , Rent         ,       0
 44,  258480,     263982,         783,              21,             3,       33473,       60, Yes            , Rent         ,       0
 36,  454215,     214165,         800,              18,             2,       10198,       36, No             , Rent         ,       0
 46,  983152,      50000,         752,               4,             3,       32976,       36, No             , Rent         ,       0
 21,  790059,     303055,         698,               3,             3,       33878,       84, No             , Mortgage     ,       0
 54,  661119,      50000,         641,              19,             4,       16184,       60, No             , Mortgage     ,       0
 30,  150000,    1539083,         626,              12,             2,       17984,       36, Yes            , Rent         ,       0
 50,  578507,     835571,         674,               5,             2,       26585,       36, No             , Mortgage     ,       0
 38,  961997,      50000,         627,              12,             5,       43614,       24, Yes            , Rent         ,       1
 24,  843241,     650654,         681,               6,             3,       29241,       48, No             , Rent         ,       0
 28,  600879,      78557,         705,              10,             4,       38740,       48, No             , Mortgage     ,       0
 26, 1001706,     725419,         661,               8,             0,        8851,       60, No             , Own          ,       0
 42,  797187,     509623,         775,              19,             0,       23471,       60, No             , Own          ,       0
 44,  150000,     705104,         736,              24,             4,       43529,       12, No             , Rent         ,       1
 39,  795116,      50000,         756,              17,             2,       24878,       12, No             , Mortgage     ,       0
 24,  751377,     691158,         608,               6,             4,       41561,       60, Yes            , Rent         ,       1
 29,  847046,     451836,         571,               4,             4,       38844,       36, Yes            , Mortgage     ,       1
 46, 1045783,     437615,         584,              15,             5,       59906,       36, No             , Rent         ,       1
 57,  404925,    1051866,         627,               4,             0,       17953,       24, No             , Own          ,       1
 59,  511562,     383552,         714,              11,             1,       19784,       24, No             , Own          ,       0
 64, 1026775,     439334,         756,              17,             2,       19017,       36, No             , Mortgage     ,       0
 41,  858191,     427527,         736,              22,             1,       15488,       24, No             , Own          ,       0
 65,  301056,     731045,         568,               7,             3,       41386,       24, No             , Own          ,       0
 44,  828089,      50000,         598,              20,             0,       13986,       12, No             , Own          ,       0
 62,  472213,      50000,         593,              17,             3,       24452,       48, No             , Rent         ,       0
 53, 1147097,      50000,         723,              29,             5,       34802,       48, No             , Rent         ,       0
 23, 1067936,     358189,         701,               5,             1,        7331,       60, Yes            , Rent         ,       1
 24,  451395,     348325,         820,               6,             0,       18315,       36, No             , Rent         ,       0
 53,  884502,     793760,         677,              30,             0,       11688,       60, No             , Rent         ,       0
 29,  318023,     577072,         630,              11,             4,       41972,       12, No             , Mortgage     ,       1
 49, 1166022,    1388875,         656,              23,             2,       34433,       60, Yes            , Own          ,       0
 21,  647184,     364519,         722,               3,             5,       18084,       36, No             , Own          ,       0
 23,  850797,      50000,         669,               5,             2,       20373,       60, No             , Mortgage     ,       0
 58, 1122914,      50000,         702,              19,             1,       21829,       36, No             , Own          ,       0
 50,  659561,     786857,         657,              27,             0,        1109,       12, No             , Rent         ,       0
 54,  969435,     493928,         518,              13,             2,       17040,       12, No             , Rent         ,       1
 39,  573914,     489914,         653,               4,             0,       15175,       24, No             , Rent         ,       0
 37, 1372320,     527437,         712,               0,             4,       26959,       24, No             , Mortgage     ,       0
 22,  677181,     842925,         817,               4,             1,       31522,       60, No             , Rent         ,       0
 37,  369866,      50000,         652,              12,             3,       16085,       36, No             , Rent         ,       0
 31, 1087810,     438237,         639,              13,             4,       25024,       60, No             , Rent         ,       0
 59,  645970,     514374,         686,              17,             0,        4173,       60, No             , Rent         ,       0
 44,  964188,      62781,         619,              16,             2,       17408,       24, No             , Own          ,       0
 64,  921937,     553768,         805,               7,             4,       29786,       36, No             , Own          ,       0
 55,  747362,      50000,         734,               6,             2,       33951,       36, No             , Own          ,       0
 45,  764590,     487315,         506,              10,             5,       31471,       48, Yes            , Rent         ,       1
 24,  760276,     709903,         630,               6,             3,       14526,       60, No             , Rent         ,       1
 61,  372394,      50000,         631,              23,             0,       12601,       60, No             , Rent         ,       1
 46,  187012,     398496,         742,              23,             4,       16533,       36, No             , Mortgage     ,       0
 43, 1216999,     289108,         694,               1,             2,       20342,       12, No             , Own          ,       0
 36,  840490,     713026,         627,              18,             4,       18389,       60, No             , Own          ,       0
 51,  351075,     366062,         632,              13,             0,       27727,       84, No             , Rent         ,       1
 49, 1082338,     412125,         493,              17,             2,       33924,       36, No             , Rent         ,       0
 63,  212176,     467256,         750,               5,             4,       31081,       36, No             , Rent         ,       1
 52, 1042187,     206897,         513,              24,             2,       12379,       36, No             , Mortgage     ,       0
 51,  720344,      50000,         669,              27,             2,       38198,       36, No             , Mortgage     ,       1
 51,  727429,      81888,         733,               7,             0,       17262,       60, No             , Own          ,       0
 53, 1203601,     607993,         663,              29,             0,       17888,       60, Yes            , Rent         ,       0
 25,  222244,    1023924,         551,               7,             1,       18744,       48, No             , Rent         ,       1
 60, 1028886,     924495,         606,              25,             3,       43644,       84, No             , Rent         ,       0
 53,  962158,     759995,         661,              21,             0,       16167,       48, No             , Rent         ,       0
 60,  818440,     348813,         715,              18,             5,       38598,       36, No             , Mortgage     ,       1
 24,  944718,     565335,         742,               6,             4,       25526,       84, No             , Own          ,       0
 23,  718149,     707655,         557,               5,             3,       30203,       48, Yes            , Mortgage     ,       1
 57, 1184706,     231312,         494,               9,             1,       17222,       60, No             , Own          ,       0
 21,  905583,     396655,         694,               3,             1,       28054,       36, No             , Mortgage     ,       1
 56,  305278,     573333,         627,              28,             1,        6898,       60, No             , Mortgage     ,       0
 34,  539835,     459390,         806,              16,             4,       32837,       12, No             , Rent         ,       0
 21,  791878,     555907,         666,               3,             3,       27826,       60, No             , Rent         ,       0
 54,  150000,     493399,         727,              22,             3,       10206,       36, Yes            , Own          ,       0
 25, 1161754,    1091997,         585,               7,             2,        7810,       60, No             , Rent         ,       0
 59,  335397,    1145544,         576,              18,             4,       38466,       60, No             , Rent         ,       0
 31, 1661599,     883785,         772,              13,             5,       52120,       12, No             , Mortgage     ,       0
 44,  852002,     947118,         830,              17,             0,       14035,       84, No             , Own          ,       0
 44,  781082,     422625,         635,              15,             0,       18486,       60, No             , Mortgage     ,       0
 38, 1138237,      50000,         715,              11,             3,       16583,       24, No             , Rent         ,       0
 32,  406535,     844786,         605,              14,             4,       25631,       60, No             , Rent         ,       1
 63,  930527,     701562,         761,               7,             1,        3806,       48, Yes            , Rent         ,       0
 30,  257508,      50000,         705,               6,             2,       29529,       36, No             , Rent         ,       0
 35,  807858,     785185,         772,              17,             4,       25866,       24, No             , Mortgage     ,       0
 52,  680543,     553653,         715,              29,             4,       42601,       24, No             , Own          ,       0
 27,  494593,     709926,         761,               9,             3,       41360,       12, No             , Mortgage     ,       0
 54,  645844,     849115,         651,               4,             0,       14211,       12, No             , Own          ,       0
 57,  729138,     776208,         694,              24,             2,       24376,       36, No             , Rent         ,       0
 65, 1238916,     970545,         635,               0,             5,       29404,       60, No             , Own          ,       1
 39, 1379920,     740005,         713,              21,             1,       47131,       36, No             , Mortgage     ,       0
 59, 1687087,     813509,         665,              14,             1,       20401,       48, No             , Mortgage     ,       0
 61,  892676,      50000,         666,              15,             1,        9933,       12, No             , Rent         ,       0
 39,  150000,      50000,         645,              16,             5,       25360,       60, No             , Rent         ,       0
 22,  175885,     213479,         617,               4,             1,       24247,       48, No             , Rent         ,       0
 32,  444549,     619405,         698,              12,             1,       19384,       36, No             , Own          ,       0
 23,  588208,     234099,         643,               5,             3,       17281,       48, Yes            , Mortgage     ,       1
 29,  802055,     852838,         587,              11,             3,       29466,       36, No             , Own          ,       0
 30, 1087503,      50000,         696,              11,             5,       15838,       48, No             , Rent         ,       0
 38,  444911,     392649,         655,              10,             3,       16592,       36, No             , Mortgage     ,       0
 65,  542072,     251109,         656,              28,             4,       28083,       12, Yes            , Own          ,       0
 62, 1048432,      50000,         753,               7,             1,       15002,       60, No             , Mortgage     ,       0
 21, 1306946,      50000,         827,               3,             5,       19264,       36, Yes            , Rent         ,       1
 23,  498274,     641157,         638,               5,             4,       30768,       24, No             , Mortgage     ,       0
 48,  464971,     550605,         524,              19,             5,       28871,       84, No             , Mortgage     ,       1
 30,  515158,      50000,         721,               5,             2,       29334,       48, No             , Own          ,       0
 62,  774924,     613156,         706,              27,             4,       43947,       60, No             , Mortgage     ,       0
 28,  529571,     413002,         673,               0,             2,       19270,       36, No             , Rent         ,       0
 57,  843608,     470631,         555,              30,             4,       42394,       48, No             , Rent         ,       1
 57,  681221,      97232,         651,              25,             1,       23431,       12, No             , Own          ,       0
 22,  714028,     296356,         588,               4,             3,       28783,       12, No             , Rent         ,       0
 54,  222062,     243999,         694,              26,             0,        3187,       48, No             , Mortgage     ,       0
 55,  743401,     573970,         507,               1,             0,       32108,       48, Yes            , Own          ,       1
 59,  658373,     786444,         636,              14,             5,       46561,       60, No             , Rent         ,       0
 42,  476588,     362765,         726,              14,             3,       15380,       24, No             , Own          ,       0
 43,  272581,    1048419,         632,              25,             3,       15214,       36, Yes            , Mortgage     ,       1
 34,  847017,     581537,         667,              16,             4,       39693,       36, No             , Mortgage     ,       0
 32,  602793,     322717,         826,              14,             4,       36554,       60, No             , Rent         ,       0
 37,  851806,     925990,         401,               8,             0,       12095,       60, No             , Rent         ,       1
 42, 1272386,     830869,         823,               3,             1,        7560,       36, No             , Own          ,       0
 57,  289903,     908947,         576,               4,             0,       25800,       36, Yes            , Own          ,       1
 61,  716922,     416495,         700,              26,             1,       32655,       60, No             , Rent         ,       0
 51,  670586,     890110,         774,              12,             2,       19448,       60, No             , Own          ,       0
 52, 1298643,     417516,         647,               0,             0,       16841,       60, No             , Rent         ,       1
 30,  754150,      50000,         674,               5,             5,       59366,       36, No             , Mortgage     ,       1
 48,  400327,     620069,         655,              26,             2,       27030,       84, Yes            , Own          ,       0
 39,  481023,     313516,         757,              14,             5,       43869,       24, No             , Rent         ,       0
 28, 1139777,     193119,         626,               1,             5,       36935,       36, Yes            , Own          ,       1
 28, 1601283,     336396,         745,               8,             1,       12280,       36, No             , Rent         ,       0
 63,  875613,      50000,         637,               5,             2,       14577,       60, No             , Rent         ,       0
 29,  891991,     694303,         850,               9,             5,       30110,       84, Yes            , Rent         ,       0
 65, 1042425,     667866,         769,               0,             3,       43574,       12, No             , Mortgage     ,       0
 22, 1071600,     326135,         622,               4,             2,       23858,       84, No             , Own          ,       0
 60,  449554,     546550,         769,              22,             1,        4288,       36, No             , Rent         ,       0
 36,  509006,     409408,         771,              18,             3,       39120,       60, No             , Mortgage     ,       0
 25,  900966,     251405,         746,               7,             1,        2878,       36, No             , Rent         ,       1
 57, 1132596,     895662,         591,               9,             3,       38213,       36, No             , Mortgage     ,       1
 56,  346204,     733874,         668,              18,             2,       21041,       24, No             , Rent         ,       1
 37,  696627,     588920,         727,              16,             0,       17717,       60, Yes            , Rent         ,       0
 57,  650704,     287182,         717,               3,             5,       51778,       84, No             , Own          ,       0
 63, 1251409,     592340,         541,              14,             2,       18349,       60, No             , Rent         ,       0
 54,  937104,     405485,         666,              17,             4,       55862,       60, No             , Mortgage     ,       0
 63,  652335,     471830,         504,              23,             2,       18300,       36, No             , Rent         ,       1
 21,  757973,     484647,         637,               3,             5,       23075,       48, No             , Mortgage     ,       0
 61,  581654,     429850,         818,              18,             1,       11271,       60, No             , Rent         ,       0
 51, 1258446,     626911,         850,               0,             2,       19311,       24, No             , Own          ,       0
 53,  571298,     667468,         658,              23,             0,       16364,       36, No             , Own          ,       0
 56,  830032,     504635,         550,              19,             4,       34014,       12, Yes            , Mortgage     ,       1
 21,  316568,     588612,         690,               3,             5,       26703,       24, No             , Rent         ,       1
 42,  673116,      50000,         624,              24,             2,       18067,       12, No             , Rent         ,       0
 35,  255555,     229235,         721,               5,             0,       12137,       60, Yes            , Own          ,       0
 37,  683552,     894815,         683,               7,             2,       21351,       24, No             , Mortgage     ,       0
 37, 1217152,    1079536,         696,              19,             1,       18244,       60, No             , Mortgage     ,       0
 52,  150000,     616820,         618,              14,             4,       21404,       36, No             , Own          ,       0
 59, 1601527,      50000,         679,              25,             5,       34712,       48, No             , Rent         ,       0
 34,  150000,     636100,         600,              10,             2,       20387,       24, No             , Rent         ,       1
 42, 1295538,     392131,         706,              13,             0,       14702,       36, No             , Rent         ,       0
 62, 1010696,     704661,         825,              23,             4,       40229,       36, No             , Rent         ,       0
 46,  367095,     324130,         638,              23,             4,       15598,       60, No             , Rent         ,       0
 45,  578489,     270247,         850,               5,             1,       12810,       12, No             , Rent         ,       0
 41, 1365861,     405649,         850,              23,             5,       20986,       24, No             , Own          ,       0
 23,  544941,    1123084,         741,               2,             5,       41171,       24, No             , Mortgage     ,       1
 44,  268400,     791595,         550,              23,             5,       35303,       24, No             , Own          ,       0
 21,  933957,     881554,         710,               3,             3,       21403,       48, No             , Rent         ,       0
 34, 1349768,      50000,         823,              16,             4,       37655,       36, No             , Mortgage     ,       0
 34,  787731,     786325,         453,              16,             0,           0,       48, No             , Mortgage     ,       1
 21,  223668,     251782,         729,               3,             1,        4162,       36, No             , Mortgage     ,       0
 34,  407252,     440288,         582,               3,             1,       11618,       48, No             , Rent         ,       0
 48,  935334,     545591,         636,               7,             4,       27975,       36, Yes            , Mortgage     ,       0
 58,  668793,     386624,         641,              23,             4,       21069,       84, No             , Rent         ,       0
 52,  493730,     786900,         678,              23,             1,       22624,       48, No             , Own          ,       0
 33,  714444,     656080,         551,              15,             0,           0,       48, Yes            , Rent         ,       0
 24,  845706,     242834,         707,               6,             0,        8932,       60, No             , Rent         ,       0
 42,  150000,      94300,         408,               3,             0,       11006,       36, No             , Own          ,       1
 62,  347972,     794728,         571,               5,             4,       31078,       12, No             , Rent         ,       0
 22, 1096271,     473331,         721,               4,             2,        3411,       36, No             , Rent         ,       0
 28,  530342,     501070,         692,              10,             3,        6731,       60, No             , Rent         ,       0
 48,  229203,     893905,         483,              30,             1,        2987,       36, No             , Mortgage     ,       0
 39,  316609,    1121038,         759,               9,             0,       13724,       36, No             , Own          ,       0
 23,  982303,     528629,         615,               4,             1,       23242,       84, No             , Own          ,       1
 58,  883260,     988525,         740,              30,             3,       10741,       24, No             , Rent         ,       0
 52, 1300036,     713363,         633,              26,             2,       12323,       60, Yes            , Mortgage     ,       0
 54, 1115853,     779848,         617,              21,             4,       38218,       60, No             , Rent         ,       0
 45,  941091,     865686,         834,               7,             3,       28017,       84, No             , Rent         ,       1
 21, 1211667,     841758,         792,               3,             4,       19624,       60, No             , Rent         ,       0
 28,  574443,     600864,         699,               4,             1,       26810,       60, No             , Mortgage     ,       0
 27,  897575,     637518,         805,               9,             4,       42254,       36, No             , Rent         ,       0
 44,  349014,     470459,         616,              13,             3,       20326,       36, No             , Mortgage     ,       0
 27,  730913,     173373,         578,               9,             0,       25069,       36, No             , Rent         ,       0
 22,  150000,     311204,         544,               4,             5,       44154,       36, No             , Rent         ,       1
 28, 1107583,     692125,         493,              10,             0,       20578,       48, No             , Own          ,       0
 53, 1158276,     451292,         735,               4,             2,       13140,       12, No             , Mortgage     ,       0
 33,  990667,     439923,         685,              13,             4,       39738,       36, Yes            , Rent         ,       0
 46,  570817,     335049,         634,               9,             5,       33904,       36, No             , Mortgage     ,       0
 54, 1251333,      65243,         691,              25,             3,       38001,       12, No             , Rent         ,       0
 26,  576697,     467152,         850,               8,             3,       27753,       84, No             , Mortgage     ,       0
 46,  817021,    1258649,         653,              27,             2,       12278,       36, No             , Rent         ,       0
 46,  755944,     205219,         538,              16,             5,       39536,       48, No             , Rent         ,       1
 24, 1420899,     354899,         668,               3,             5,       41387,       60, No             , Own          ,       0
 64,  827127,     453697,         604,              23,             2,       22494,       24, No             , Own          ,       0
 62, 1110952,      50000,         754,              26,             5,       54229,       60, No             , Rent         ,       0
 28,  431598,     870478,         769,               0,             4,       21541,       84, No             , Rent         ,       0
 46,  671603,    1071097,         715,              25,             4,       31260,       36, No             , Rent         ,       0
 28, 1316694,      50000,         564,              10,             3,       26819,       60, No             , Mortgage     ,       1
 41, 1062602,     477226,         618,               7,             2,       27205,       36, No             , Mortgage     ,       0
 59,  606553,     730366,         704,              26,             5,       26506,       84, Yes            , Mortgage     ,       1
 51,  542378,     795761,         850,              20,             1,        7889,       60, No             , Own          ,       0
 37,  942433,     714163,         605,              19,             2,       17509,       36, Yes            , Rent         ,       0
 44, 1505138,     381243,         674,              10,             4,       34017,       48, No             , Mortgage     ,       0
 35,  690763,    1172985,         786,              13,             2,       27191,       24, No             , Rent         ,       0
 25,  320223,    1143917,         764,               7,             0,       11107,       60, No             , Mortgage     ,       0
 58,  304899,     882986,         795,              17,             4,       34122,       48, No             , Rent         ,       1
 63,  232621,     346351,         645,               1,             2,       35768,       24, No             , Rent         ,       0
 38, 1024155,     298075,         850,               8,             3,       21654,       60, No             , Mortgage     ,       0
 43,  447394,      50000,         714,               2,             3,       27795,       36, No             , Rent         ,       1
 30,  821043,    1181645,         535,               8,             2,       21439,       84, Yes            , Mortgage     ,       1
 34, 1467820,      50000,         690,              16,             1,           0,       48, No             , Own          ,       0
 34, 1236404,    1096625,         682,              16,             4,       30877,       24, Yes            , Own          ,       0
 62,  654747,     609064,         747,               9,             1,       24712,       48, No             , Rent         ,       0
 26, 1073726,     341448,         763,               8,             4,       30521,       12, No             , Own          ,       0
 52,  975082,      50000,         816,              17,             5,       42404,       48, No             , Mortgage     ,       0
 55,  392357,     906017,         759,              26,             2,       23415,       84, No             , Rent         ,       0
